,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order
628,1-р хороолол хар хорин захын хойно гал тогоо тусдаа нэг өрөө 40m2 байр,"98 сая ₮
үнэ тохирно",3/2/2024,16:41,8087795,8804-5104,1 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
1-р хороолол Хар хорин захын замын хойд талд 26-р байрны 9 давхар гал тогоо тусдаа нэг өрөө байр зарна. Хуучны 18м2",https://www.unegui.mn/adv/8087795_1-r-khoroolol-khar-khorin-zakhyn-khoino-gal-togoo-tusdaa-neg-oroo-bair-zarna/,Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,40.0 м²,9,Лизинггүй,1,Ашиглалтад орсон,13,46
629,Сансар их засаг сургуулийн ард 3 өрөө байр,"162.5 сая ₮
үнэ тохирно",3/2/2024,16:40,8087802,9996-9966,3 өрөө,"УБ — Баянзүрх, Сансар",,https://www.unegui.mn/adv/8087802_sansar-ikh-zasag-surguuliin-ard-2-oroo-bair-khudaldana/,Паркет,1 тагттай,2018,Байгаа,Вакум,6,Бүргэд,66.0 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,13,47
630,Арцат өргөө хотхонд 3 өрөө байр 74.8мкв,175 сая ₮,3/2/2024,16:39,8013271,9494-7887,3 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/8013271_artsat-orgoo-khotkhond-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,74.8 м²,4,Лизинггүй,3,Ашиглалтад орсон,13,48
631,"Яармаг, hunnu tower 2 өрөө орон сууц 59.59 мкв",226.44 сая ₮,3/2/2024,16:38,8045604,9494-7887,2 өрөө,"УБ — Хан-Уул, Яармаг",,https://www.unegui.mn/adv/8045604_iaarmag-hunnu-tower-2-oroo-oron-suuts-khudaldana/,Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Бүргэд,59.59 м²,8,Лизинггүй,2,Ашиглалтад орсон,13,49
632,10р хороололд 2 өрөө 56м2,130 сая ₮,3/2/2024,16:38,8087798,9998-4308,2 өрөө,"УБ — Баянгол, 10-р хороолол","
📍Бгд 10р хороололд гал тогоо тусдаа 2 өрөө байр зах зээлийн үнээс хямд худалдана.
💎9/9 давхарт
💎Зүүн харсан 3 цонхтой.
💎Гэрчилгээ бэлэн.
💎Банкны энгийн орон сууцны зээл шийдэж өгнө.
Үнэ: 130саяд.",https://www.unegui.mn/adv/8087798_10r-khoroolold/,Паркет,1 тагттай,1998,Байхгүй,Вакум,9,Бүргэд,56.0 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,13,50
633,1-р хороолол цамбагаравт гал тогоо тусдаа 3 өрөө 80м2,"180 сая ₮
үнэ тохирно",3/2/2024,16:38,7991827,9901-7064,3 өрөө,"УБ — Сонгинохайрхан, 1-р хороолол","
1-р хороолол, Цамбагаравт зам дагуу цэнхэр 9 давхар 11-р байранд гал тогоо тусдаа 40м.кв 3 өрөө байр зарна. Зөвхөн утсаар холбогдоно уу.
Өнөр хороолол, Залуус гудамж, Сонгинохайрхан дүүргийн нэгдсэн эмнэлэгийн урд талд, цэнхэр 9 давхар угсармал байрны 2 давхарт 3 өрөө байр зарна.
🔸Гал тогоо тусдаа, Kitchen all-н тавилгатай
🔸Ванн, 00 өрөө нэгтгэсэн
🔸Балкон битүүлсэн хаалттай
🔸 Бүх өрөөний паарыг сайн чанарын турк паараар сольсон тул өвөлдөө маш дулаахан
🔸Тэгш ламинатан шалтай
🔸 Зүүн болон баруун тийш харсан цонхтой
🔸Хүүхдийн сургууль цэцэрлэг 80-100метр, (36, 80, 81-р сургууль, 99, 101, 107-р цэцэрлэг)
🔸Бүх үйлчилгээ хажуудаа
🔸Машин зогсох талбайтай
🔸Хүүхдийн тоглоомын талбайтай
🔸Харагдах орчин хаасан нэг ч барилга байгууламж баригдахгүй зохион байгуулалттай.
🔸Дуу чимээгүй, амгалан орчинтой.",https://www.unegui.mn/adv/7991827_1-r-khoroolol-tsambagaravt-gal-togoo-tusdaa-3-oroo/,Паркет,1 тагттай,1980,Байхгүй,Вакум,9,Бүргэд,80.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,13,51
634,Modun town-д 133мкв 4 өрөө байр,"665 сая ₮
үнэ тохирно",3/2/2024,16:37,8087796,9917-0815,4 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 16","
👉ХУД 17-р хороо, Модун хотхонд 4 өрөө байр худалдана.

133,7мкв
Нийт үнэ 665сая, 1мкв үнэ 4,973к
16/4давхар
🎆зүүн 2, урагшаа 2 харууцтай,
Гал тогооны тавилга, дагалдана",https://www.unegui.mn/adv/8087796_modun-town-d-133mk-4-oroo-bair-khudaldana/,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Төмөр,133.0 м²,4,Банкны лизингтэй,5,Ашиглалтад орсон,13,52
635,1 өрөө 33m2,"90 сая ₮
95 сая ₮ үнэ тохирно",3/2/2024,16:36,7982619,8908-3488,1 өрөө,"УБ — Баянзүрх, 14-р хороолол","
Засвар хийсэн дулаахан өрөөний зохион байгжуулалт сайтай 2 өрөө болгох боломжтой. Авснаас хойш 1 айл амьдарч байсан",https://www.unegui.mn/adv/7982619_1-oroo-33m2/,Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,33.0 м²,7,Лизинггүй,2,Ашиглалтад орсон,13,53
636,Худ зайсан могул таунд 4 өрөө,328 сая ₮,3/2/2024,16:35,8087778,8808-3330,4 өрөө,"УБ — Хан-Уул, Зайсан","
Цэвэр агаар ,хотын дуу чимээнээс хол хүртээмжтэй машины зогсоол хүүхэд тоглох аюулгүй орчин .хувийн болон улсын сургууль цэцэрлэгт ойрхон",https://www.unegui.mn/adv/8087778_khud-zaisan-mogul-taund-4-oroo-oron-suuts-khudaldana/,Паркет,Тагтгүй,2023,Байхгүй,Вакум,10,Бүргэд,164.0 м²,2,Банкны лизингтэй,4,Ашиглалтад орсон,13,54
637,"11-р хороололд 102,78м2 4 өрөө дүплекс",215 сая ₮,3/2/2024,16:29,8087774,8872-8827,4 өрөө,"УБ — Сүхбаатар, 11-р хороолол","
💡11-р хороололд 102,78м2 4 өрөө дүплекс байр худалдана.",https://www.unegui.mn/adv/8087774_11-r-khoroolold-102-78m2-4-oroo-dupleks/,Паркет,1 тагттай,2015,Байхгүй,Вакум,7,Төмөр,102.78 м²,7,Лизинггүй,3,Ашиглалтад орсон,13,55
638,Богд ард 2 өрөө байр,"138 сая ₮
үнэ тохирно",3/2/2024,16:27,8087757,8808-3330,2 өрөө,"УБ — Баянгол, Төмөр зам","
Төмөр зам богд ард 2 өрөө худалдана.худалдааны төв сургууль ,цэцэрлэг,автобусны буудал бүх зүйлдээ ойрхон",https://www.unegui.mn/adv/8087757_bogd-ard-2-oroa-bair-khudaldana/,Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,51.89 м²,1,Лизинггүй,3,Ашиглалтад орсон,13,56
639,Urgah naran horoolold 2oroo 42.2м2 bair,"65 сая ₮
үнэ тохирно",3/2/2024,16:23,7830521,9961-1228,2 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 11","
2oroo bair zarna.",https://www.unegui.mn/adv/7830521_urgah-naran-horoolold-2oroo-bair-zarna/,Паркет,1 тагттай,2006,Байхгүй,Вакум,4,Бүргэд,42.2 м²,3,Лизинггүй,3,Ашиглалтад орсон,13,57
640,Худ-т Шилтгээн хотхонд 136мкв 5 өрөө байр,"545 сая ₮
үнэ тохирно",3/2/2024,16:19,7779661,9901-5320,5+ өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
Маш дулаахан тухлаг, мастер bedroom, 3 ариун цэврийн өрөө, бүх зүг рүү харсан 8 цонхтой доороо Оргил супермаркеттай гаднаа машины зогсоол ихтэй, үүдэндээ харуул хамгаалалт сайтай байр зарна.",https://www.unegui.mn/adv/7779661_khud-t-shiltgeen-khotkhond-5-oroo-bair-zarna/,Паркет,2 тагттай,2011,Байгаа,Вакум,12,Бүргэд,136.0 м²,9,Лизинггүй,8,Ашиглалтад орсон,13,58
641,"Яармаг, Гумүда гарденд 3 өрөө 70м2 байр",3 сая ₮,3/2/2024,16:17,8087745,8803-1793,3 өрөө,"УБ — Хан-Уул, Яармаг","
🛎️Яармаг #GUMUDA GARDEN Хотхонд 69.85мкв 3 өрөө Шинэ шууд нүүж ороход бэлэн байр #худалдана.

Хэмжээ:
69.85 мкв |16/9| 3 өрөө
Үнэ:3сая

✅Хойш харсан 3 цонхтой
✅Бүрэн цутгамал металл пасад
✅Давхартаа 5н айлтай
✅24 цагийн хос лифт
✅Хүүхдийн тоглоомын талбай аюулгүй машины орц гарц тусдаа",https://www.unegui.mn/adv/8087745_iaarmag-gumuda-gardend-3-oroo-bair/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,70.0 м²,9,Лизинггүй,3,Ашиглалтад орсон,13,59
642,Маршал таун 4 өрөө,3.7 сая ₮,3/2/2024,16:02,8077293,9915-0221,4 өрөө,"УБ — Хан-Уул, Marshall town","
🌱 Маршал таун хотхонд 185мкв 4 өрөө орон сууц худалдана.

☎️

-185мкв | 4 өрөө
-10/10 давхарт
-Ариун цэврийн өрөө: 3
-Агуулахын өрөө: 1
Давуу тал: Хүүхэд тоглох аюулгүй орчин, орчны нэгдсэн төлөвлөлт, ногоон байгууламж бүхий цогц хотхон.

💰Үнэ: 684сая | Мкв:3.7сая
Төлбөрийн нөхцөл: Бэлэн болон зээл

📍Байршил: ХУД, 17р хороо",https://www.unegui.mn/adv/8077293_marshal-taun-4-oroo/,Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,185.0 м²,10,Лизинггүй,5,Ашиглалтад орсон,13,60
643,Худ emartiin хойно solaris apartment 3 өрөө 79.07м2,438 сая ₮,3/2/2024,15:58,7965286,9610-8003,3 өрөө,"УБ — Хан-Уул, Хүннү",,https://www.unegui.mn/adv/7965286_khud-emartiin-khoino-solaris-apartment-3-oroo-79-07m2/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,79.07 м²,13,Лизинггүй,3,Ашиглалтад орсон,14,1
644,Бзд 16-р хороолол sky residense 2 2 өрөө 59.04m2,155 сая ₮,3/2/2024,15:57,8082266,9610-8003,2 өрөө,"УБ — Баянзүрх, 16-р хороолол",,https://www.unegui.mn/adv/8082266_bzd-16-r-khoroolol-sky-residense-2-2-oroo-59-04m2/,Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,59.04 м²,10,Лизинггүй,4,Ашиглалтад орсон,14,2
645,Американ дэнж хотхонд 5 өрөө байр 164.74м2,"510.69 сая ₮
үнэ тохирно",3/2/2024,15:51,8087663,8011-7010,5+ өрөө,"УБ — Баянзүрх, 15-р хороолол","
Американ дэнж хотхонд 5 өрөө орон сууц худалдана.
- 162,74мкв
- 2010 он
- 4/10 давхарт
- Баруун 2, зүүн 3, урагшаа харсан 1 цонхтой
- Мастер унтлагын өрөө, 2 тагттай
Бартерт 2 өрөө байр оролцуулна.
Бэлэн төлөлтөд үнэ ярилцана.
Гараж байгаа, тусдаа үнэтэй",https://www.unegui.mn/adv/8087663_amerikan-denzh-khotkhond-5-oroo-khudaldana/,Паркет,2 тагттай,2010,Байгаа,Вакум,10,Бүргэд,164.74 м²,4,Лизинггүй,6,Ашиглалтад орсон,14,3
646,1 өрөө байр,130 сая ₮,3/2/2024,15:48,8087659,8032-0055,1 өрөө,"УБ — Баянзүрх, 13-р хороолол","
1 өрөө байр зарна
/2өрөө болгон зассан/
* Дулаахан, тав тухтай
* Баруун харсан цонхтой, Цонхоор үзэгдэх орчин сайтай
* Байрны зүүн талд салхилах талбайтай
* 84,111 сургуульд ойрхон
* Гадна нэмэлт дулаалгатай
* Автобусны буудалтай ойр",https://www.unegui.mn/adv/8087659_1-oroo-bair-zarna/,Паркет,1 тагттай,1998,Байхгүй,Вакум,9,Бүргэд,42.0 м²,3,Банкны лизингтэй,2,Ашиглалтад орсон,1,34
647,10 хороололд 47мкв 2 өрөө,125 сая ₮,3/2/2024,15:39,8067913,9595-,2 өрөө,"УБ — Баянгол, 10-р хороолол","
10-р хороололд 47 мкв 2 өрөө байр зарна.
Засвар хийх шаардлагагүй.
Урагш харсан цонхтой.
Гэрчилгээ бэлэн. Шууд нүүж орох боломжтой.",https://www.unegui.mn/adv/8067913_10-khoroolold-47-mkv-2-oroo/,Паркет,1 тагттай,2008,Байхгүй,Вакум,5,Бүргэд,47.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,14,4
648,Kh apartment 103мкв 2 өрөө,"446 сая ₮
үнэ тохирно",3/2/2024,15:37,8054385,8887-0911,2 өрөө,"УБ — Хан-Уул, 120 мянгат","
Хурд грүүд KH apartment
103.62 мкв 2 өрөө орон сууц худалдана
3 арөө болгох боломжтой
Гэрчилгээ бэлэн
Мкв үнэ 4.3 сая",https://www.unegui.mn/adv/8054385_kh-apartment-103mkv-2-oroo/,Паркет,1 тагттай,2014,Байгаа,Вакум,20,Төмөр,103.0 м²,10,Лизинггүй,3,Ашиглалтад орсон,14,5
649,Хүннү2222 3 өрөө 79.98м2,463.88 сая ₮,3/2/2024,15:37,8087183,9906-3642,3 өрөө,"УБ — Хан-Уул, Хүннү","
Хүннү2222 3-р ээлж 79.98мкв 3 өрөө худалдана
22 даврарт
урагшаа болон баруун харсан цонхтой",https://www.unegui.mn/adv/8087183_khunnu2222-shine-3-oroo-khudaldana/,Паркет,1 тагттай,2023,Байхгүй,Вакум,25,Бүргэд,79.98 м²,22,Банкны лизингтэй,4,Ашиглалтад орсон,14,6
650,"Худ, наадам центрийн урд 120 мянгат цэнгэлдэх хотхонд 79.98 мкв 3 өрөө",499 сая ₮,3/2/2024,15:32,7983548,8509-2000,3 өрөө,"УБ — Хан-Уул, 120 мянгат",,https://www.unegui.mn/adv/7983548_khud-naadam-tsentriin-urd-120-miangat-tsengeldekh-khotkhond-79-98-mkv-3-oroo/,Паркет,1 тагттай,2021,Байхгүй,Вакум,23,Бүргэд,79.98 м²,18,Лизинггүй,4,Ашиглалтад орсон,14,7
